state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,YSR Kadapa,Mydukur APMC,Paddy(Common),Masuri,Local,30/07/2026,2200,2400,2300
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Bitter gourd,Bitter Gourd,FAQ,30/07/2026,1997,2100,2000
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Banana - Green,Banana - Green,FAQ,30/07/2026,1900,1930,1915
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Guava,Guava,Grade B,30/07/2026,4330,4500,4350
Andhra Pradesh,Kurnool,Alur APMC,Jowar(Sorghum),Hybrid,FAQ,30/07/2026,3730,3730,3730
Punjab,Amritsar,Rayya APMC,Brinjal,Brinjal,FAQ,30/07/2026,500,500,500
Bihar,Sheikhpura,Barbigha APMC,Bottle gourd,Bottle Gourd,FAQ,30/07/2026,2135,2245,2180
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Bhindi(Ladies Finger),Bhindi,FAQ,30/07/2026,1470,1500,1480
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Cucumbar(Kheera),Cucumbar,FAQ,30/07/2026,1560,1590,1580
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Pointed gourd(Parval),Pointed gourd (Parval),FAQ,30/07/2026,2220,2260,2240
Andhra Pradesh,Kakinada,Kakinada (Urban) APMC,Paddy(Common),B P T,FAQ,30/07/2026,2389,2600,2550
Andhra Pradesh,Vijayanagaram,Vijayanagaram APMC,Maize,Local,Local,30/07/2026,2400,2400,2400
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Groundnut,Local,FAQ,30/07/2026,6500,7500,7000
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Banana,Medium,Grade B,30/07/2026,3779,3900,3800
Keralam,Ernakulam,Kunnukara  VFPCK Market,Banana,Nendra Bale,Grade A,30/07/2026,5700,5900,5800
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Mango,Dusheri,Grade B,30/07/2026,3330,3380,3335
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Brinjal,Round/Long,FAQ,30/07/2026,1200,1250,1225
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley APMC,Turmeric,Finger,FAQ,30/07/2026,14000,15000,14500
Punjab,Amritsar,Rayya APMC,Bitter gourd,Bitter Gourd,FAQ,30/07/2026,1385,1385,1385
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Bottle gourd,Bottle Gourd,FAQ,30/07/2026,1120,1160,1140
Punjab,Amritsar,Rayya APMC,Cucumbar(Kheera),Cucumbar,FAQ,30/07/2026,915,915,915
Bihar,Sheikhpura,Shekhpura APMC,Wheat,147 Average,FAQ,30/07/2026,2500,2600,2550
Andhra Pradesh,Kakinada,Pithapuram APMC,Paddy(Common),1001,FAQ,30/07/2026,2369,2389,2379
Andhra Pradesh,Sri Sathya Sai,Gorantla  APMC,Maize,Hybrid/Local,FAQ,30/07/2026,1700,2100,1850
Andhra Pradesh,Ananthapuramu,Gooti APMC,Cotton,Bramha,Grade Range-1,30/07/2026,7220,9609,9491
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Apple,Apple,Grade B,30/07/2026,8890,8900,8895
Punjab,Amritsar,Rayya APMC,Cauliflower,Local,FAQ,30/07/2026,3084,3084,3084
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Cauliflower,Cauliflower,FAQ,30/07/2026,2277,2300,2299
Bihar,Sheikhpura,Barbigha APMC,Brinjal,Arkasheela Mattigulla,FAQ,30/07/2026,3010,3165,3080
Punjab,Amritsar,Rayya APMC,Bhindi(Ladies Finger),Bhindi,FAQ,30/07/2026,705,705,705
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Bhindi(Ladies Finger),Bhindi,FAQ,30/07/2026,2340,2380,2360
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Cabbage,Cabbage,FAQ,30/07/2026,1040,1080,1060
Bihar,Sheikhpura,Barbigha APMC,Wheat,147 Average,FAQ,30/07/2026,2500,2600,2550
Andhra Pradesh,Kakinada,Karapa APMC,Paddy(Common),1001,FAQ,30/07/2026,2364,2369,2366
Andhra Pradesh,Polavaram,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,30/07/2026,2369,2389,2379
Andhra Pradesh,Ananthapuramu,Gooti APMC,Groundnut,Local,Grade Range-1,30/07/2026,3209,6345,6267
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Cauliflower,Cauliflower,FAQ,30/07/2026,1600,1640,1620
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Brinjal,Brinjal,FAQ,30/07/2026,1380,1400,1390
Andhra Pradesh,Ananthapuramu,Gooti APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,30/07/2026,3789,5897,4907
Bihar,Sheikhpura,Barbigha APMC,Bitter gourd,Bitter Gourd,FAQ,30/07/2026,2960,3100,3035
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Bottle gourd,Bottle Gourd,FAQ,30/07/2026,1160,1200,1190
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Carrot,Carrot,FAQ,30/07/2026,1400,1440,1420
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Cucumbar(Kheera),Cucumbar,FAQ,30/07/2026,920,960,940
Bihar,Sheikhpura,Barbigha APMC,Cucumbar(Kheera),Cucumbar,FAQ,30/07/2026,3060,3200,3125
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Raddish,Raddish,FAQ,30/07/2026,1340,1380,1360
