state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Kakinada,Kakinada (Urban) APMC,Paddy(Common),Common,FAQ,10/08/2026,2369,2390,2375
Andhra Pradesh,Kakinada,Jaggampet APMC,Paddy(Common),Common,FAQ,10/08/2026,2369,2380,2369
Punjab,Amritsar,Rayya APMC,Potato,Potato,FAQ,10/08/2026,755,755,755
Punjab,Amritsar,Rayya APMC,Ridgeguard(Tori),Other,FAQ,10/08/2026,2096,2096,2096
Punjab,Amritsar,Rayya APMC,Tinda,Other,FAQ,10/08/2026,1805,1805,1805
Andhra Pradesh,Prakasam,Darsi APMC,Cotton,Desi,Local,10/08/2026,8100,8200,8200
Punjab,Amritsar,Rayya APMC,Bhindi(Ladies Finger),Bhindi,FAQ,10/08/2026,700,700,700
Punjab,Amritsar,Rayya APMC,Green Chilli,Green Chilly,FAQ,10/08/2026,1108,1108,1108
Manipur,Imphal East,Lamlong Bazaar APMC,Masur Dal,Masur Dal,FAQ,10/08/2026,9000,10000,9500
Manipur,Imphal East,Lamlong Bazaar APMC,Red gram split/Arhar dal/Tur dal,Arhar Dal(Tur),FAQ,10/08/2026,14000,15000,14500
Manipur,Imphal East,Lamlong Bazaar APMC,Green Gram Dal(Moong Dal),Green Gram Dal,FAQ,10/08/2026,13000,14000,13500
Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,Local,10/08/2026,2350,2400,2400
Andhra Pradesh,Palnadu,Rompicherla APMC,Maize,Hybrid/Local,FAQ,10/08/2026,2300,2400,2350
Manipur,Imphal East,Lamlong Bazaar APMC,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,10/08/2026,7500,8000,7750
Andhra Pradesh,Prakasam,Maddipadu APMC,Bengal Gram(Gram)(Whole),Gulabi,FAQ,10/08/2026,5900,5900,5900
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Groundnut,Local,FAQ,10/08/2026,6500,7500,7000
Punjab,Amritsar,Rayya APMC,Cauliflower,Local,FAQ,10/08/2026,3168,3168,3168
Punjab,Amritsar,Rayya APMC,Brinjal,Brinjal,FAQ,10/08/2026,500,500,500
Andhra Pradesh,Srikakulam,Kanchili APMC,Paddy(Common),1001,FAQ,10/08/2026,2400,2400,2400
Andhra Pradesh,Prakasam,Maddipadu APMC,Paddy(Common),B P T,FAQ,10/08/2026,2500,2500,2500
Andhra Pradesh,Palnadu,Rompicherla APMC,Paddy(Common),Paddy,FAQ,10/08/2026,2300,2480,2400
Manipur,Imphal East,Lamlong Bazaar APMC,Onion,Onion,FAQ,10/08/2026,6500,7000,6750
Punjab,Amritsar,Rayya APMC,Bitter gourd,Bitter Gourd,FAQ,10/08/2026,1375,1375,1375
Manipur,Imphal East,Lamlong Bazaar APMC,Ginger(Green),Green Ginger,Local,10/08/2026,9500,10000,9750
Manipur,Imphal East,Lamlong Bazaar APMC,Dry Chillies,Dry Chillies,FAQ,10/08/2026,23000,25000,24000
Punjab,Amritsar,Rayya APMC,Cucumbar(Kheera),Cucumbar,FAQ,10/08/2026,907,907,907
Manipur,Imphal East,Lamlong Bazaar APMC,Paddy(Common),Other,Local,10/08/2026,3000,3000,3000
Andhra Pradesh,Polavaram,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,10/08/2026,2369,2389,2379
Manipur,Imphal East,Lamlong Bazaar APMC,Rice,Other,Local,10/08/2026,5100,5100,5100
Manipur,Imphal East,Lamlong Bazaar APMC,Banana,Other,Local,10/08/2026,5500,6000,5750
Manipur,Imphal East,Lamlong Bazaar APMC,Pineapple,Other,Local,10/08/2026,4000,5000,4500
Punjab,Amritsar,Rayya APMC,Onion,Other,FAQ,10/08/2026,1435,1435,1435
Manipur,Imphal East,Lamlong Bazaar APMC,Potato,Other,FAQ,10/08/2026,3000,3500,3250
Andhra Pradesh,Prakasam,Maddipadu APMC,Bajra(Pearl Millet/Cumbu),Bold,FAQ,10/08/2026,2550,2550,2550
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,10/08/2026,710,710,710
Manipur,Imphal East,Lamlong Bazaar APMC,Black Gram Dal(Urd Dal),Black Gram Dal,FAQ,10/08/2026,13000,14000,13500
