state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Vijayanagaram,Chipurupalli APMC,Maize,Local,FAQ,19/09/2026,4800,4800,4800
Rajasthan,Jalore,Jalore APMC,Tinda,Tinda,Local,19/09/2026,1800,2200,2000
Andhra Pradesh,Dr.B.R.A.Konaseema,Amalapuram APMC,Paddy(Common),1001,FAQ,19/09/2026,2441,2468,2441
Tripura,South Tripura,Barpathari APMC,"Spiny Gourd / Kartali(Kantola)
",Kartali (Kantola),Local,19/09/2026,5900,6100,6000
Rajasthan,Jalore,Jalore APMC,Lemon,Other,Local,19/09/2026,2000,2500,2300
Andhra Pradesh,Ananthapuramu,Gooti APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,19/09/2026,5700,7856,6869
Andhra Pradesh,Ananthapuramu,Gooti APMC,Cotton,Bramha,Grade Range-1,19/09/2026,4515,10060,9680
Andhra Pradesh,Kakinada,Kakinada (Urban) APMC,Paddy(Common),Common,FAQ,19/09/2026,2369,2390,2375
Keralam,Thiruvananthapuram,Vamanapuram Market,Elephant Yam(Suran)/Amorphophallus,Other,Local,19/09/2026,4000,4500,4500
Punjab,Ludhiana,Jagraon APMC,Tomato,Other,FAQ,19/09/2026,1800,1800,1800
Andhra Pradesh,Ananthapuramu,Rapthadu APMC,Ground Nut Seed,Ground Nut Seed,Grade Range-1,19/09/2026,9500,11500,10500
Keralam,Thiruvananthapuram,Vamanapuram Market,Cucumbar(Kheera),Other,Local,19/09/2026,2000,2500,2500
Keralam,Thiruvananthapuram,Vamanapuram Market,Snakeguard,Other,Local,19/09/2026,2700,3000,2700
Punjab,Ludhiana,Jagraon APMC,Cauliflower,Other,FAQ,19/09/2026,2500,2500,2500
Punjab,Amritsar,Rayya APMC,Brinjal,Brinjal,FAQ,19/09/2026,500,500,500
Andhra Pradesh,Kakinada,Pithapuram APMC,Paddy(Common),1001,FAQ,19/09/2026,2369,2389,2379
Uttar Pradesh,Hathras,Shadabad APMC,Brinjal,Brinjal,Small,19/09/2026,600,700,650
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC,Maize,Local,FAQ,19/09/2026,2300,2500,2400
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Local,19/09/2026,16000,23000,20500
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Grade Range-1,19/09/2026,18000,28500,25600
Rajasthan,Jalore,Jalore APMC,Cluster beans,Other,Local,19/09/2026,3500,4000,3800
Rajasthan,Jalore,Jalore APMC,Cabbage,Cabbage,Local,19/09/2026,1500,2000,1800
Telangana,Siddipet,Vantamamidi APMC,Bitter gourd,Bitter Gourd,Local,19/09/2026,2000,2000,2000
Keralam,Thiruvananthapuram,Vamanapuram Market,Bitter gourd,Other,Local,19/09/2026,5000,5500,5500
Keralam,Thiruvananthapuram,Vamanapuram Market,Beetroot,Other,FAQ,19/09/2026,3000,3500,3500
Andhra Pradesh,Sri Sathya Sai,Penukonda APMC,Maize,Hybrid/Local,FAQ,19/09/2026,2600,2700,2650
Keralam,Thiruvananthapuram,Vamanapuram Market,Potato,Other,FAQ,19/09/2026,4000,4500,4500
Keralam,Thiruvananthapuram,Vamanapuram Market,Carrot,Other,FAQ,19/09/2026,5500,6000,5500
Keralam,Thiruvananthapuram,Vamanapuram Market,Cabbage,Cabbage,FAQ,19/09/2026,3000,3500,3500
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,19/09/2026,712,712,712
Punjab,Ludhiana,Jagraon APMC,Ginger(Green),Other,FAQ,19/09/2026,5300,5300,5300
Punjab,Ludhiana,Jagraon APMC,Capsicum,Other,FAQ,19/09/2026,700,700,700
Punjab,Ludhiana,Jagraon APMC,Bhindi(Ladies Finger),Other,FAQ,19/09/2026,1200,1200,1200
Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,Local,19/09/2026,2500,2600,2600
Punjab,Ludhiana,Jagraon APMC,Pumpkin,Other,FAQ,19/09/2026,550,550,550
Punjab,Amritsar,Rayya APMC,Green Chilli,Green Chilly,FAQ,19/09/2026,1060,1060,1060
Andhra Pradesh,Kakinada,Samalkot APMC,Paddy(Common),Paddy,FAQ,19/09/2026,2339,2345,2340
Keralam,Alappuzha,Harippad Market,Amaranthus,Other,FAQ,19/09/2026,5000,5500,5000
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley APMC,Ginger(Dry),Ginger-Organic,Grade Range-1,19/09/2026,13500,13500,13500
Andhra Pradesh,YSR Kadapa,Mydukur APMC,Paddy(Common),Masuri,Local,19/09/2026,2800,3200,3000
Andhra Pradesh,Kakinada,Prattipadu APMC,Paddy(Common),1001,FAQ,19/09/2026,2369,2389,2379
Andhra Pradesh,Kakinada,Karapa APMC,Paddy(Common),1001,FAQ,19/09/2026,2361,2369,2365
Rajasthan,Jalore,Jalore APMC,Tomato,Tomato,Local,19/09/2026,2000,2400,2200
Rajasthan,Jalore,Jalore APMC,Ginger(Green),Other,Local,19/09/2026,4000,4500,4300
Rajasthan,Jalore,Jalore APMC,Capsicum,Other,Local,19/09/2026,2500,3000,2800
Rajasthan,Jalore,Jalore APMC,Bhindi(Ladies Finger),Bhindi,Local,19/09/2026,1200,1500,1300
Telangana,Siddipet,Vantamamidi APMC,Pumpkin,Pumpkin,Local,19/09/2026,500,500,500
Telangana,Siddipet,Vantamamidi APMC,Bottle gourd,Bottle Gourd,Local,19/09/2026,1000,1000,1000
