state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Prakasam,Maddipadu APMC,Paddy(Common),B P T,FAQ,02/09/2026,2800,2800,2800
Andhra Pradesh,Srikakulam,Kanchili APMC,Paddy(Common),1001,FAQ,02/09/2026,2400,2400,2400
Andhra Pradesh,Vijayanagaram,Chipurupalli APMC,Maize,Local,FAQ,02/09/2026,4800,4800,4800
Andhra Pradesh,Eluru,Polavaram APMC,Maize,Local,Local,02/09/2026,2420,2420,2420
Andhra Pradesh,Nandyal,Koilkunta APMC,Jowar(Sorghum),Jowar ( White),FAQ,02/09/2026,3000,3400,3200
Andhra Pradesh,Prakasam,Maddipadu APMC,Bengal Gram(Gram)(Whole),Gulabi,FAQ,02/09/2026,6000,6000,6000
Andhra Pradesh,Ananthapuramu,Kalyandurg APMC,Groundnut,Local,Grade Range-1,02/09/2026,8000,8500,8300
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Banana,Karpura,Local,02/09/2026,1550,1650,1600
Keralam,Palakad,Agali VFPCK Market,Banana,Nendra Bale,Grade A,02/09/2026,4400,4600,4500
Uttarakhand,Haridwar,Roorkee APMC,Banana,Other,Medium,02/09/2026,800,1280,1000
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Cauliflower,Cauliflower,FAQ,02/09/2026,2360,2400,2380
Uttarakhand,Haridwar,Roorkee APMC,Brinjal,Other,Local,02/09/2026,650,850,750
Andhra Pradesh,Polavaram,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,02/09/2026,2369,2389,2379
Andhra Pradesh,Ananthapuramu,Gooti APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,02/09/2026,4900,6250,5700
Andhra Pradesh,Ananthapuramu,Singanamala APMC,Groundnut,Local,Grade Range-1,02/09/2026,6200,7000,6600
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley APMC,Ginger(Dry),Ginger-Organic,Grade Range-1,02/09/2026,12000,13000,12500
Uttarakhand,Haridwar,Roorkee APMC,Bottle gourd,Other,Local,02/09/2026,650,850,750
Andhra Pradesh,Dr.B.R.A.Konaseema,Razole APMC,Coconut,Medium,FAQ,02/09/2026,15600,16000,15600
Uttarakhand,Haridwar,Roorkee APMC,Cucumbar(Kheera),Other,Local,02/09/2026,700,1000,800
Punjab,Amritsar,Rayya APMC,Cucumbar(Kheera),Cucumbar,FAQ,02/09/2026,895,895,895
Punjab,Amritsar,Rayya APMC,Ridgeguard(Tori),Other,FAQ,02/09/2026,2055,2055,2055
Uttarakhand,Haridwar,Roorkee APMC,Tomato,Other,Medium,02/09/2026,1200,2200,1600
Andhra Pradesh,Anakapally,Payakaraopeta APMC,Mango,Other,Local,02/09/2026,2350,2450,2400
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Brinjal,Brinjal,FAQ,02/09/2026,1455,1600,1500
Andaman and Nicobar,Nicobar,Perka Vegetable Market,Pumpkin,Other,FAQ,02/09/2026,6000,10000,8000
Punjab,Amritsar,Rayya APMC,Green Chilli,Green Chilly,FAQ,02/09/2026,1075,1075,1075
Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,Local,02/09/2026,2500,2600,2600
Andhra Pradesh,Kakinada,Kakinada (Urban) APMC,Paddy(Common),Common,FAQ,02/09/2026,2369,2390,2375
