state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Punjab,Amritsar,Rayya APMC,Cucumbar(Kheera),Cucumbar,FAQ,11/07/2026,929,929,929
Punjab,Amritsar,Rayya APMC,Brinjal,Brinjal,FAQ,11/07/2026,509,509,509
Keralam,Pathanamthitta,Enadimangalam VFPCK Market,Banana,Palayamthodan,Grade A,11/07/2026,2000,2800,2500
Keralam,Ernakulam,Piravam Market,Amaranthus,Amaranthus,Local,11/07/2026,3000,4000,3500
Punjab,Amritsar,Rayya APMC,Onion,Other,FAQ,11/07/2026,1547,1547,1547
Keralam,Pathanamthitta,Enadimangalam VFPCK Market,Banana,Nendra Bale,Grade A,11/07/2026,7000,8000,7500
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,11/07/2026,731,731,731
Punjab,Amritsar,Rayya APMC,Tinda,Other,FAQ,11/07/2026,1827,1827,1827
Punjab,Amritsar,Rayya APMC,Potato,Other,FAQ,11/07/2026,652,652,652
Punjab,Amritsar,Rayya APMC,Green Chilli,Green Chilly,FAQ,11/07/2026,1128,1128,1128
Punjab,Amritsar,Rayya APMC,Ridgeguard(Tori),Other,FAQ,11/07/2026,2122,2122,2122
Punjab,Amritsar,Rayya APMC,Cauliflower,Other,FAQ,11/07/2026,1137,1137,1137
Punjab,Amritsar,Rayya APMC,Bitter gourd,Bitter Gourd,FAQ,11/07/2026,1394,1394,1394
Punjab,Amritsar,Rayya APMC,Bhindi(Ladies Finger),Bhindi,FAQ,11/07/2026,718,718,718
