state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Sri Sathya Sai,Penukonda APMC,Maize,Hybrid/Local,FAQ,31/08/2026,2400,2500,2450
Andhra Pradesh,Srikakulam,Hiramandalam APMC,Maize,Medium,Local,31/08/2026,2200,2200,2200
Andhra Pradesh,Palnadu,Narasaraopet APMC,Cotton,Bunny,FAQ,31/08/2026,8500,8500,8500
Tripura,North Tripura,Dasda APMC,Potato,Other,FAQ,31/08/2026,1400,1600,1500
Punjab,Amritsar,Rayya APMC,Cauliflower,Local,FAQ,31/08/2026,3183,3183,3183
Bihar,Muzaffarpur,Bhagwanpur Mandi APMC,Cauliflower,African Sarson,Grade B,31/08/2026,5200,5200,5200
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Brinjal,Brinjal,FAQ,31/08/2026,1466,1500,1488
Keralam,Alappuzha,Harippad Market,Brinjal,Brinjal,FAQ,31/08/2026,5500,6000,5500
Andhra Pradesh,Ananthapuramu,Gooti APMC,Red gram/Arhar/Tur(whole),Local,Grade Range-1,31/08/2026,4800,6570,5770
Uttar Pradesh,Hathras,Shadabad APMC,Bottle gourd,Bottle Gourd,Small,31/08/2026,600,700,650
Keralam,Alappuzha,Harippad Market,Ashgourd,Other,FAQ,31/08/2026,4000,4500,4000
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Pumpkin,Pumpkin,FAQ,31/08/2026,1030,1100,1060
Punjab,Amritsar,Rayya APMC,Green Chilli,Green Chilly,FAQ,31/08/2026,1084,1084,1084
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Banana - Green,Banana - Green,FAQ,31/08/2026,1720,1800,1780
Keralam,Alappuzha,Harippad Market,Carrot,Other,FAQ,31/08/2026,8000,8500,8000
Odisha,Ganjam,Digapahandi APMC,Cabbage,Cabbage,FAQ,31/08/2026,2200,2400,2300
Keralam,Alappuzha,Harippad Market,Beetroot,Beetroot,FAQ,31/08/2026,6000,6500,6000
Andhra Pradesh,Srikakulam,Kanchili APMC,Paddy(Common),1001,FAQ,31/08/2026,2400,2400,2400
Andhra Pradesh,Kakinada,Sampara (Kakinada Rural) APMC,Paddy(Common),1001,FAQ,31/08/2026,2369,2389,2379
Andhra Pradesh,Bapatla,Vemuru APMC,Maize,Hybrid/Local,Grade Range-2,31/08/2026,2111,2510,2501
Andhra Pradesh,Prakasam,Kondapi APMC,Bengal Gram(Gram)(Whole),Average (Whole),Local,31/08/2026,5500,6000,5750
Andhra Pradesh,Palnadu,Narasaraopet APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),FAQ,31/08/2026,8500,8500,8500
Keralam,Alappuzha,Harippad Market,Onion,Small,FAQ,31/08/2026,8000,8500,8000
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Local,31/08/2026,16000,22700,19500
Uttar Pradesh,Hathras,Shadabad APMC,Brinjal,Brinjal,Small,31/08/2026,800,900,850
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley APMC,Turmeric,Finger,Grade Range-1,31/08/2026,12000,12000,12000
Andhra Pradesh,Palnadu,Narasaraopet APMC,Red gram/Arhar/Tur(whole),Local,FAQ,31/08/2026,8000,8000,8000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Papaya,Papaya,Grade A,31/08/2026,2000,3000,2500
Andhra Pradesh,Annamayya,Piler APMC,Gur(Jaggery),NO 3,Local,31/08/2026,4400,4900,4600
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Tomato,Other,Grade A,31/08/2026,2000,2800,2500
