state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Dr.B.R.A.Konaseema,Razole APMC,Coconut,Medium,FAQ,21/09/2026,17500,18000,17500
Keralam,Kottayam,Pala Market,Brinjal,Brinjal,FAQ,21/09/2026,5500,6000,5700
Keralam,Kottayam,Pala Market,Banana,Banana - Ripe,Large,21/09/2026,5200,6000,5600
Telangana,Siddipet,Vantamamidi APMC,Bottle gourd,Bottle Gourd,Local,21/09/2026,800,800,800
Telangana,Siddipet,Vantamamidi APMC,Cabbage,Cabbage,Local,21/09/2026,700,1000,850
Telangana,Siddipet,Vantamamidi APMC,Brinjal,Brinjal,Local,21/09/2026,1500,2500,2000
Odisha,Sundergarh,Panposh APMC,Tomato,Hybrid,FAQ,21/09/2026,3000,4000,3500
Odisha,Sundergarh,Panposh APMC,Bottle gourd,Bottle Gourd,FAQ,21/09/2026,2000,2400,2200
Rajasthan,Jalore,Jalore APMC,Lemon,Other,Local,21/09/2026,2000,2500,2300
Rajasthan,Jalore,Jalore APMC,Cluster beans,Other,Local,21/09/2026,3500,4000,3800
Punjab,Amritsar,Rayya APMC,Onion,Other,FAQ,21/09/2026,1400,1400,1400
Andhra Pradesh,Kakinada,Peddapuram APMC,Paddy(Common),1001,FAQ,21/09/2026,2369,2400,2390
Uttar Pradesh,Hathras,Shadabad APMC,Bottle gourd,Bottle Gourd,Small,21/09/2026,800,900,850
Andhra Pradesh,Prakasam,Darsi APMC,Cotton,Desi,Local,21/09/2026,8100,8200,8200
Bihar,Muzaffarpur,Bhagwanpur Mandi APMC,Onion,1st Sort,Grade A,21/09/2026,4500,4500,4500
Bihar,Muzaffarpur,Bhagwanpur Mandi APMC,Brinjal,Arkasheela Mattigulla,Grade A,21/09/2026,2300,2300,2300
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Lemon,Lemon,Grade A,21/09/2026,6000,8000,7000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Cucumbar(Kheera),Cucumbar,Grade A,21/09/2026,2500,3500,3000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Cabbage,Other,Grade A,21/09/2026,1500,2500,2000
Andhra Pradesh,Kakinada,Pithapuram APMC,Paddy(Common),B P T,FAQ,21/09/2026,2369,2389,2379
Keralam,Idukki,Munnar Market,Pineapple,Other,Medium,21/09/2026,6000,6000,6000
Keralam,Idukki,Munnar Market,Coconut,Other,Local,21/09/2026,9800,9800,9800
Keralam,Kottayam,Pala Market,Bitter gourd,Bitter Gourd,FAQ,21/09/2026,6200,7000,6600
Keralam,Kottayam,Pala Market,Beetroot,Beetroot,FAQ,21/09/2026,6400,6800,6600
Telangana,Siddipet,Vantamamidi APMC,Bitter gourd,Bitter Gourd,Local,21/09/2026,1400,1800,1600
Telangana,Siddipet,Vantamamidi APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,21/09/2026,1500,2000,1750
Telangana,Siddipet,Vantamamidi APMC,Bhindi(Ladies Finger),Bhindi,Local,21/09/2026,1500,2000,1750
Andhra Pradesh,Tirupathi,Vakadu APMC,Paddy(Common),B P T,Local,21/09/2026,2389,2410,2400
Andhra Pradesh,Prakasam,Maddipadu APMC,Bajra(Pearl Millet/Cumbu),Bold,FAQ,21/09/2026,2900,2900,2900
Andhra Pradesh,Bapatla,Chirala APMC,Paddy(Common),B P T,Local,21/09/2026,2400,2500,2450
Odisha,Sundergarh,Panposh APMC,Bhindi(Ladies Finger),Other,FAQ,21/09/2026,4000,4500,4200
Andhra Pradesh,Kakinada,Jaggampet APMC,Paddy(Common),Common,FAQ,21/09/2026,2369,2380,2369
Uttarakhand,Haridwar,Roorkee APMC,Brinjal,Other,Local,21/09/2026,800,1000,900
Rajasthan,Jalore,Jalore APMC,Beetroot,Other,Local,21/09/2026,1800,2000,1900
Rajasthan,Jalore,Jalore APMC,Tomato,Tomato,Local,21/09/2026,1500,2000,1800
Rajasthan,Jalore,Jalore APMC,Coriander(Leaves),Coriander,Local,21/09/2026,2000,2500,2300
Rajasthan,Jalore,Jalore APMC,Brinjal,Brinjal,Local,21/09/2026,1500,2000,1800
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Papaya,Papaya,Grade A,21/09/2026,2500,3500,3000
Punjab,Amritsar,Rayya APMC,Brinjal,Round,FAQ,21/09/2026,1290,1290,1290
Punjab,Amritsar,Rayya APMC,Potato,Potato,FAQ,21/09/2026,742,742,742
Punjab,Amritsar,Rayya APMC,Bhindi(Ladies Finger),Bhindi,FAQ,21/09/2026,675,675,675
Bihar,Muzaffarpur,Bhagwanpur Mandi APMC,Cabbage,Cabbage,Grade A,21/09/2026,2560,2560,2560
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Grade A,21/09/2026,2000,3000,2500
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Potato,Other,Grade A,21/09/2026,500,600,550
Bihar,Muzaffarpur,Bhagwanpur Mandi APMC,Bhindi(Ladies Finger),Bhindi,Grade A,21/09/2026,1350,1350,1350
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Carrot,Other,Grade A,21/09/2026,1500,2500,2000
Keralam,Idukki,Munnar Market,Seetapal,Other,Medium,21/09/2026,10000,10000,10000
Keralam,Idukki,Munnar Market,Tender Coconut,Other,Medium,21/09/2026,5000,5000,5000
Keralam,Idukki,Munnar Market,Sompu,Chalu,FAQ,21/09/2026,85000,85000,85000
Keralam,Idukki,Munnar Market,Cashewnuts,320 Counts,FAQ,21/09/2026,15000,15000,15000
Haryana,Gurgaon,Gurgaon APMC,Potato,Other,Grade A,21/09/2026,600,1000,800
Andhra Pradesh,Prakasam,Maddipadu APMC,Bengal Gram(Gram)(Whole),Gulabi,FAQ,21/09/2026,6000,6000,6000
Andhra Pradesh,Kakinada,Samalkot APMC,Paddy(Common),Paddy,FAQ,21/09/2026,2339,2345,2340
Uttarakhand,Haridwar,Roorkee APMC,Potato,Other,Medium,21/09/2026,800,1200,1000
Uttarakhand,Haridwar,Roorkee APMC,Cucumbar(Kheera),Other,Local,21/09/2026,800,1200,1000
Uttarakhand,Haridwar,Roorkee APMC,Cauliflower,Other,Local,21/09/2026,1000,1500,1200
