state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Odisha,Sundergarh,Panposh APMC,Bottle gourd,Bottle Gourd,FAQ,11/09/2026,2000,2500,2200
Uttarakhand,Haridwar,Roorkee APMC,Cucumbar(Kheera),Other,Local,11/09/2026,800,1000,900
Uttarakhand,Haridwar,Roorkee APMC,Cauliflower,Other,Local,11/09/2026,1000,1500,1200
Odisha,Sundergarh,Panposh APMC,Bhindi(Ladies Finger),Other,FAQ,11/09/2026,3500,4200,4000
Uttarakhand,Haridwar,Roorkee APMC,Bottle gourd,Other,Local,11/09/2026,650,850,750
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,11/09/2026,715,715,715
Punjab,Amritsar,Rayya APMC,Potato,Potato,FAQ,11/09/2026,749,749,749
Odisha,Angul,Angaura APMC,Cauliflower,Other,Large,11/09/2026,5100,5800,5400
Andhra Pradesh,Prakasam,Darsi APMC,Paddy(Common),B P T,Local,11/09/2026,2500,2600,2600
Andhra Pradesh,Kakinada,Sampara (Kakinada Rural) APMC,Paddy(Common),1001,FAQ,11/09/2026,2369,2389,2379
Punjab,Amritsar,Rayya APMC,Cucumbar(Kheera),Cucumbar,FAQ,11/09/2026,890,890,890
Keralam,Alappuzha,Harippad Market,Bhindi(Ladies Finger),Other,FAQ,11/09/2026,4500,5000,4500
Keralam,Alappuzha,Harippad Market,Ashgourd,Other,FAQ,11/09/2026,4000,4500,4000
Keralam,Idukki,Munnar Market,Garlic,Other,Local,11/09/2026,20000,20000,20000
Andhra Pradesh,Kakinada,Pithapuram APMC,Paddy(Common),1001,FAQ,11/09/2026,2369,2389,2379
Andhra Pradesh,Polavaram,Rampachodvaram APMC,Paddy(Common),1001,Grade Range-2,11/09/2026,2369,2389,2379
Andhra Pradesh,Markapuram,Podili APMC,Red gram/Arhar/Tur(whole),Arhar (Whole),Non-FAQ,11/09/2026,8000,8200,8100
Uttarakhand,Haridwar,Roorkee APMC,Bhindi(Ladies Finger),Other,Local,11/09/2026,1000,1500,1300
Uttarakhand,Haridwar,Roorkee APMC,Banana,Other,Medium,11/09/2026,800,1200,1000
Andhra Pradesh,Sri Sathya Sai,Penukonda APMC,Maize,Hybrid/Local,FAQ,11/09/2026,2600,2700,2650
Odisha,Sundergarh,Panposh APMC,Cabbage,Cabbage,FAQ,11/09/2026,3000,4000,3500
Punjab,Amritsar,Rayya APMC,Ridgeguard(Tori),Other,FAQ,11/09/2026,2047,2047,2047
Andhra Pradesh,Prakasam,Darsi APMC,Cotton,Desi,Local,11/09/2026,8100,8200,8200
Punjab,Amritsar,Rayya APMC,Tinda,Other,FAQ,11/09/2026,1785,1785,1785
Punjab,Amritsar,Rayya APMC,Bhindi(Ladies Finger),Bhindi,FAQ,11/09/2026,687,687,687
Keralam,Alappuzha,Harippad Market,Cabbage,Cabbage,FAQ,11/09/2026,4500,5000,4500
Keralam,Alappuzha,Harippad Market,Banana - Green,Other,FAQ,11/09/2026,6500,7000,6500
Keralam,Idukki,Munnar Market,Indian Beans(Seam),Indian Beans (Seam),Medium,11/09/2026,6500,6500,6500
Keralam,Idukki,Munnar Market,Green Avare(W),Green Avare (W),Medium,11/09/2026,6000,6000,6000
